#catagory,spec,ISO,Brinell,Kc,SFM-HSS-Mill,SFM-CRB-Mill,SFM-HSS-Drill,SFM-CRB-Drill,SFM-HSS-Lathe,SFM-CRB-Lathe,Mill-Chipload,Drill-CL-Range,Lathe-IPR-Range,Tensile-yield,Tensile-ultimate
Aluminum   ,-any-,N,100,94500,220-320,700-1250,190-260,400-650,200-300,500-1200,.0004-.0010-.0045,0.0007-.0018-.0035,0.0005-.006-.012,37000 psi,42000 psi
           ,6061,N,95,94500,220-320,700-1250,190-260,400-650,200-300,500-1200,.0004-.0010-.0045,0.0007-.0018-.0035,0.0005-.006-.018,37000 psi,42000 psi
           ,2021,N,80,62366,220-320,700-1250,190-260,400-650,200-300,500-1200,.0004-.0010-.0045,0.0007-.0018-.0035,0.0005-.006-.018,64000 psi,70000 psi
           ,2024,N,125,94275,220-320,700-1250,185-250,400-650,190-280,500-1200,.0004-.0010-.0045,0.0007-.0018-.0035,0.0005-.006-.018,42000 psi,64000 psi
           ,6063,N,73,79500,220-320,700-1250,190-260,400-650,200-300,500-1200,.0004-.0010-.0045,0.0007-.0018-.0035,0.0005-.006-.018,31000 psi,35000 psi
           ,7075,N,150,98626,220-320,700-1250,185-250,400-650,190-280,500-1200,.0004-.0010-.0045,0.0007-.0018-.0035,0.0005-.006-.014,67000 psi,76000 psi
           ,7068,N,185,99826,220-320,700-1250,185-250,400-650,190-280,500-1200,.0004-.0010-.0045,0.0007-.0018-.0035,0.0005-.006-.014,94000 psi,101000 psi
Plastic    ,-any-,N,10,12328,100-400,500-1200,150-200,150-300,150-200,400-600,.0005-.0012-.005,.0008-.002-.005,0.0005-.008-.025,5000 psi,10000 psi
           ,delrin,N,10,13053,100-400,500-1200,150-200,150-300,150-200,400-600,.0005-.0012-.005,.0008-.002-.005,0.0005-.008-.025,5000 psi,10400 psi
           ,nylon,N,10,13053,100-400,500-1200,150-200,150-300,150-200,400-600,.0005-.0012-.005,.0008-.002-.005,0.0005-.008-.025,5000 psi,10400 psi
           ,acryl,N,10,13053,100-400,500-1200,150-200,150-300,150-200,400-600,.0005-.0012-.005,.0008-.002-.005,0.0005-.008-.025,7000 psi,20000 psi
           ,ABS,N,10,8702,100-400,500-1200,150-200,150-300,150-200,400-600,.0005-.0012-.005,.0008-.002-.005,0.0005-.008-.025,7000 psi,12000 psi
           ,HDPE,N,5,7252,100-400,500-1200,150-200,150-300,150-200,400-600,.0005-.0012-.005,.0008-.002-.005,0.0005-.008-.025,2000 psi,3000 psi
